Generation,Average Fitness,Best Fitness So Far,Best with secondary data
112,-0.34881196399445386,-0.32216969399858053,-0.3837612765507393
113,-0.3482304335700463,-0.3220300999168227,-0.37670944108184445
114,-0.35186918192833927,-0.3220300999168227,-0.37670944108184445
115,-0.3577398518468336,-0.3210226550680131,-0.3960421065802781
116,-0.36200893261945744,-0.31975421191297904,-0.3946508185538916
117,-0.35194133331551647,-0.31873278053018345,-0.38432267103816126
118,-0.35666499994610973,-0.31873278053018345,-0.38432267103816126
119,-0.3535658028269922,-0.31873278053018345,-0.38432267103816126
120,-0.35500021789979624,-0.31873278053018345,-0.38432267103816126
121,-0.34426744734999576,-0.31873278053018345,-0.38432267103816126
122,-0.34540412257403125,-0.31873278053018345,-0.38432267103816126
123,-0.3532339227649036,-0.3178791331204887,-0.38364311594717354
124,-0.35661540797138025,-0.3178791331204887,-0.38364311594717354
125,-0.35198834662583317,-0.3178791331204887,-0.38364311594717354
126,-0.3539305699984437,-0.3178791331204887,-0.38364311594717354
127,-0.35805755935359235,-0.31643358868520344,-0.3798832368881494
128,-0.35673964165730415,-0.31643358868520344,-0.3798832368881494
129,-0.3555454325144824,-0.31643358868520344,-0.3798832368881494
130,-0.36545838146581255,-0.31643358868520344,-0.3798832368881494
131,-0.36162023974235014,-0.31643358868520344,-0.3798832368881494
132,-0.35426328113419003,-0.31643358868520344,-0.3798832368881494
133,-0.3522536174089284,-0.31643358868520344,-0.3798832368881494
134,-0.3493357864124813,-0.31643358868520344,-0.3798832368881494
135,-0.3538591024841056,-0.3164191355989395,-0.3783659218687479
136,-0.35231358526651824,-0.3164191355989395,-0.3783659218687479
137,-0.3547808501563672,-0.3164191355989395,-0.3783659218687479
138,-0.3500447747975024,-0.31639222881597723,-0.3783435594137429
139,-0.3488469478587679,-0.3158077207374365,-0.37391140672325535
140,-0.34859387117017354,-0.3158077207374365,-0.37391140672325535
141,-0.3538961372912936,-0.3158077207374365,-0.37391140672325535
142,-0.3539763091972462,-0.3158077207374365,-0.37391140672325535
143,-0.35224258401165676,-0.3158077207374365,-0.37391140672325535
144,-0.3538032945329161,-0.3158077207374365,-0.37391140672325535
145,-0.3466256298077151,-0.3158077207374365,-0.37391140672325535
146,-0.3530638047975362,-0.3158077207374365,-0.37391140672325535
147,-0.3476298780321191,-0.3158077207374365,-0.37391140672325535
148,-0.34877820501056594,-0.3158077207374365,-0.37391140672325535
149,-0.34459723798343644,-0.314653769716296,-0.37848666078186316
150,-0.34588755424142853,-0.314653769716296,-0.37848666078186316
151,-0.3482869116238198,-0.314653769716296,-0.37848666078186316
152,-0.3518654072725984,-0.314653769716296,-0.37848666078186316
153,-0.3497740550143855,-0.314653769716296,-0.37848666078186316
154,-0.3475679951029932,-0.314653769716296,-0.37848666078186316
155,-0.3483786684671232,-0.31416324269300855,-0.37551506261131573
156,-0.34427870516438847,-0.3127278345278106,-0.3766478922060642
157,-0.355445796771184,-0.3127278345278106,-0.3766478922060642
158,-0.35186992393711436,-0.3127278345278106,-0.3766478922060642
159,-0.3507549459350332,-0.3127278345278106,-0.3766478922060642
160,-0.35134535011483203,-0.3127278345278106,-0.3766478922060642
161,-0.3506693831964032,-0.3127278345278106,-0.3766478922060642
162,-0.35025318743343414,-0.3127278345278106,-0.3766478922060642
163,-0.3498780459401383,-0.3127278345278106,-0.3766478922060642
164,-0.349023759916605,-0.3127278345278106,-0.3766478922060642
165,-0.35303028147024385,-0.3127278345278106,-0.3766478922060642
166,-0.3443617519316176,-0.3127278345278106,-0.3766478922060642
167,-0.3543612293914734,-0.3127278345278106,-0.3766478922060642
168,-0.3547637533921197,-0.3127278345278106,-0.3766478922060642
169,-0.3558838366012573,-0.3126412017426036,-0.37662022694814434
170,-0.3517782648455924,-0.3125828449369575,-0.3767015987953451
171,-0.357923391770311,-0.3125828449369575,-0.3767015987953451
172,-0.3586739181585979,-0.3125563991570474,-0.3768378426815914
173,-0.3545099849991199,-0.3125563991570474,-0.3768378426815914
174,-0.3519977998163678,-0.3125563991570474,-0.3768378426815914
175,-0.34589269200533534,-0.3125563991570474,-0.3768378426815914
176,-0.3453052320521877,-0.3125563991570474,-0.3768378426815914
177,-0.3483701519849086,-0.31253334483782425,-0.37684532999971
178,-0.35987901025956637,-0.31253334483782425,-0.37684532999971
179,-0.3508167665811806,-0.31253334483782425,-0.37684532999971
180,-0.3539716727825953,-0.31232653939131266,-0.3776132625921034
181,-0.35311938357955724,-0.3105825714576513,-0.3780071301615489
182,-0.3560446248641015,-0.3105825714576513,-0.3780071301615489
183,-0.3591991311782099,-0.3105739038646746,-0.3780313991030426
184,-0.3584579664141359,-0.3105739038646746,-0.3780313991030426
185,-0.36452658992106524,-0.3105714833338014,-0.3780265930631779
186,-0.35521367407362925,-0.3105714833338014,-0.3780265930631779
187,-0.35063870860826535,-0.3105714833338014,-0.3780265930631779
188,-0.35733357218363243,-0.3105714833338014,-0.3780265930631779
189,-0.353313096100465,-0.31040543385531627,-0.3753943705340408
190,-0.35306863687797196,-0.31040543385531627,-0.3753943705340408
191,-0.3600990320628917,-0.31040543385531627,-0.3753943705340408
192,-0.35013449853640954,-0.31031003028734916,-0.37529003883094647
193,-0.3557389741357927,-0.31031003028734916,-0.37529003883094647
194,-0.35456916467538163,-0.31031003028734916,-0.37529003883094647
195,-0.35510717287679827,-0.31031003028734916,-0.37529003883094647
196,-0.3476752753686691,-0.31031003028734916,-0.37529003883094647
197,-0.35257365293986886,-0.31031003028734916,-0.37529003883094647
198,-0.3448964680145555,-0.31031003028734916,-0.37529003883094647
199,-0.3455278726934539,-0.31031003028734916,-0.37529003883094647
200,-0.348177543959803,-0.31031003028734916,-0.37529003883094647
201,-0.35269617888319515,-0.31031003028734916,-0.37529003883094647
202,-0.34678322433256964,-0.31031003028734916,-0.37529003883094647
203,-0.3556962837742387,-0.31031003028734916,-0.37529003883094647
204,-0.35304009934063196,-0.31031003028734916,-0.37529003883094647
205,-0.3563888151126946,-0.31031003028734916,-0.37529003883094647
206,-0.35713785812999893,-0.31031003028734916,-0.37529003883094647
207,-0.3618794554566787,-0.31031003028734916,-0.37529003883094647
208,-0.35573952043764734,-0.31031003028734916,-0.37529003883094647
209,-0.34715241267329894,-0.31031003028734916,-0.37529003883094647
210,-0.3410540462715648,-0.31031003028734916,-0.37529003883094647
211,-0.3443537008974772,-0.31031003028734916,-0.37529003883094647
212,-0.3441485129230905,-0.31031003028734916,-0.37529003883094647
213,-0.35142269285462957,-0.31031003028734916,-0.37529003883094647
214,-0.3555752668922178,-0.31031003028734916,-0.37529003883094647
215,-0.35007168440271785,-0.31031003028734916,-0.37529003883094647
216,-0.3511305770810828,-0.31031003028734916,-0.37529003883094647
217,-0.34825047931591047,-0.31031003028734916,-0.37529003883094647
218,-0.34161649068725347,-0.31031003028734916,-0.37529003883094647
219,-0.340587291174204,-0.31031003028734916,-0.37529003883094647
220,-0.34526893130508035,-0.31031003028734916,-0.37529003883094647
221,-0.3555826732212461,-0.31031003028734916,-0.37529003883094647
222,-0.3475238076702498,-0.31031003028734916,-0.37529003883094647
223,-0.34943703044509433,-0.31031003028734916,-0.37529003883094647
224,-0.35614244271683965,-0.31031003028734916,-0.37529003883094647
225,-0.3550083108628478,-0.31031003028734916,-0.37529003883094647
226,-0.3505162191705476,-0.30991177786522656,-0.37383524601234497
227,-0.35039266771387917,-0.3097098591371099,-0.37363777321199887
228,-0.3463343359824098,-0.3097098591371099,-0.37363777321199887
229,-0.343270192060457,-0.3097098591371099,-0.37363777321199887
230,-0.3461019099290897,-0.3097098591371099,-0.37363777321199887
231,-0.34287030649597156,-0.3097098591371099,-0.37363777321199887
232,-0.3419524414288349,-0.3097098591371099,-0.37363777321199887
233,-0.3364777290070491,-0.3097098591371099,-0.37363777321199887
234,-0.34931135136600616,-0.3097098591371099,-0.37363777321199887
235,-0.34723583935783475,-0.3092850484525329,-0.3772266164824914
236,-0.3473200477672131,-0.3092850484525329,-0.3772266164824914
237,-0.33503896128114796,-0.3092850484525329,-0.3772266164824914
238,-0.34182023577383874,-0.3092850484525329,-0.3772266164824914
239,-0.3438830235936948,-0.3092850484525329,-0.3772266164824914
240,-0.340517710996131,-0.3092850484525329,-0.3772266164824914
241,-0.34582681592992354,-0.3092850484525329,-0.3772266164824914
242,-0.3526388920181862,-0.3092850484525329,-0.3772266164824914
243,-0.3435687156374734,-0.3092850484525329,-0.3772266164824914
244,-0.34099819415689103,-0.3092850484525329,-0.3772266164824914
245,-0.3474258995515186,-0.3092850484525329,-0.3772266164824914
246,-0.3401450202696346,-0.3092850484525329,-0.3772266164824914
247,-0.3402912427246074,-0.3092850484525329,-0.3772266164824914
248,-0.3400299017384284,-0.3092850484525329,-0.3772266164824914
249,-0.33754367276010433,-0.3092850484525329,-0.3772266164824914
250,-0.3450618781824552,-0.3092850484525329,-0.3772266164824914
251,-0.3436986998072419,-0.3092850484525329,-0.3772266164824914
252,-0.3471613218754254,-0.3092850484525329,-0.3772266164824914
253,-0.3434423343571967,-0.3092850484525329,-0.3772266164824914
254,-0.33546928331522063,-0.3092713389767963,-0.37722661648249134
255,-0.3467237183187947,-0.3092713389767963,-0.37722661648249134
256,-0.34027951774839915,-0.3092713389767963,-0.37722661648249134
257,-0.33078462360633865,-0.3092713389767963,-0.37722661648249134
258,-0.34310352539856176,-0.3092713389767963,-0.37722661648249134
259,-0.34120808614548054,-0.3092713389767963,-0.37722661648249134
260,-0.340835596719625,-0.3092713389767963,-0.37722661648249134
261,-0.33866065687461294,-0.3092286547317193,-0.3772518703848686
262,-0.3378259520346234,-0.3092286547317193,-0.3772518703848686
263,-0.34220462668247953,-0.3092286547317193,-0.3772518703848686
264,-0.33873194283782554,-0.3092286547317193,-0.3772518703848686
265,-0.3356828736704012,-0.3092286547317193,-0.3772518703848686
